cond_id,cc,embed_dim,head_type,max_nM,label,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc
1,0,32,mhcflurry,50000,c01_cc0_d32_mhcflurry_50k,0.872584879398346,0.8703390061855316,0.8268015384674072,0.8593955039978027,0.8427835027139379,0.9405120015144348,0.9000166654586792
1,1,32,mhcflurry,50000,c01_cc1_d32_mhcflurry_50k,0.86997389793396,0.8737664818763733,0.8026004433631897,0.8922470211982727,0.845052867325158,0.9397045969963074,0.8942728042602539
2,0,32,mhcflurry,100000,c02_cc0_d32_mhcflurry_100k,0.8741514086723328,0.8736526370048523,0.8225806355476379,0.8712220788002014,0.8462029316779482,0.941203236579895,0.9044540524482727
2,1,32,mhcflurry,100000,c02_cc1_d32_mhcflurry_100k,0.8678851127624512,0.8689008355140686,0.8090024590492249,0.8738502264022827,0.8401769068817755,0.938453197479248,0.8908378481864929
3,0,32,hlgauss,50000,c03_cc0_d32_hlgauss_50k,0.8678851127624512,0.8720333874225616,0.7988235354423523,0.8922470211982727,0.8429546799956261,0.9406406879425049,0.8985676765441895
3,1,32,hlgauss,50000,c03_cc1_d32_hlgauss_50k,0.8522193431854248,0.8440435826778412,0.8203753232955933,0.8042050004005432,0.8122096858818398,0.9271663427352905,0.8702006340026855
4,0,32,hlgauss,100000,c04_cc0_d32_hlgauss_100k,0.867362916469574,0.8666775226593018,0.8141263723373413,0.8633376955986023,0.8380101841282598,0.9398435950279236,0.8938397169113159
4,1,32,hlgauss,100000,c04_cc1_d32_hlgauss_100k,0.8579634428024292,0.8544034659862518,0.8114649653434753,0.8370565176010132,0.8240621005829001,0.9299402832984924,0.8765312433242798
5,0,64,mhcflurry,50000,c05_cc0_d64_mhcflurry_50k,0.8621410131454468,0.8554083704948425,0.8291390538215637,0.822601854801178,0.8258575179692336,0.9347501993179321,0.8917062878608704
5,1,64,mhcflurry,50000,c05_cc1_d64_mhcflurry_50k,0.8684073090553284,0.8639639914035797,0.8292367458343506,0.842312753200531,0.8357236047655985,0.9396067261695862,0.8938234448432922
6,0,64,mhcflurry,100000,c06_cc0_d64_mhcflurry_100k,0.8595300316810608,0.853913277387619,0.8211488127708435,0.8265440464019775,0.8238375964638499,0.9347137212753296,0.8937859535217285
6,1,64,mhcflurry,100000,c06_cc1_d64_mhcflurry_100k,0.8704960942268372,0.8708434402942657,0.8147239089012146,0.8725361227989197,0.8426395780950797,0.9375548362731934,0.8974720239639282
7,0,64,hlgauss,50000,c07_cc0_d64_hlgauss_50k,0.8584856390953064,0.8537179529666901,0.8165374398231506,0.8304861783981323,0.8234527427725269,0.9329134225845337,0.8847340941429138
7,1,64,hlgauss,50000,c07_cc1_d64_hlgauss_50k,0.8381201028823853,0.8296600878238678,0.8010680675506592,0.7884362936019897,0.794701988290921,0.9255073666572571,0.8898252248764038
8,0,64,hlgauss,100000,c08_cc0_d64_hlgauss_100k,0.854830265045166,0.8509088158607483,0.8084291219711304,0.8318002820014954,0.8199481974961964,0.9296100735664368,0.8842014074325562
8,1,64,hlgauss,100000,c08_cc1_d64_hlgauss_100k,0.867362916469574,0.8646637499332428,0.8212927579879761,0.8515111804008484,0.8361290283457667,0.9369524121284485,0.8906673192977905
9,0,128,mhcflurry,50000,c09_cc0_d128_mhcflurry_50k,0.867362916469574,0.8653350174427032,0.8188679218292236,0.855453372001648,0.8367609341574214,0.9324192404747009,0.8901427388191223
9,1,128,mhcflurry,50000,c09_cc1_d128_mhcflurry_50k,0.860052227973938,0.8592691421508789,0.8046971559524536,0.855453372001648,0.8292993724466583,0.9369946122169495,0.8981794714927673
10,0,128,mhcflurry,100000,c10_cc0_d128_mhcflurry_100k,0.854830265045166,0.8515800833702087,0.8060836791992188,0.8357424736022949,0.8206451905213832,0.9345349669456482,0.8927711248397827
10,1,128,mhcflurry,100000,c10_cc1_d128_mhcflurry_100k,0.872584879398346,0.865416407585144,0.8460508584976196,0.8304861783981323,0.8381962685478535,0.9395771622657776,0.8943955898284912
11,0,128,hlgauss,50000,c11_cc0_d128_hlgauss_50k,0.8579634428024292,0.851047158241272,0.8238410353660583,0.8173456192016602,0.8205804736480369,0.9260084629058838,0.8710796236991882
11,1,128,hlgauss,50000,c11_cc1_d128_hlgauss_50k,0.84751957654953,0.8347739577293396,0.8316831588745117,0.7726675271987915,0.801089905540873,0.9248275756835938,0.8693341612815857
12,0,128,hlgauss,100000,c12_cc0_d128_hlgauss_100k,0.8569190502166748,0.8497330844402313,0.8233731985092163,0.8147174715995789,0.8190224664764546,0.927577555179596,0.8810025453567505
12,1,128,hlgauss,100000,c12_cc1_d128_hlgauss_100k,0.8443863987922668,0.8353068828582764,0.8124156594276428,0.7910643815994263,0.801597868115864,0.9281058311462402,0.8837344646453857
13,0,256,mhcflurry,50000,c13_cc0_d256_mhcflurry_50k,0.8694517016410828,0.8697531521320343,0.8134969472885132,0.8712220788002014,0.8413705674823849,0.9373509883880615,0.8912676572799683
13,1,256,mhcflurry,50000,c13_cc1_d256_mhcflurry_50k,0.8678851127624512,0.862859457731247,0.8307291865348816,0.8383705615997314,0.8345323824186058,0.935731828212738,0.8972811698913574
14,0,256,mhcflurry,100000,c14_cc0_d256_mhcflurry_100k,0.8584856390953064,0.8570742905139923,0.8047263622283936,0.8501971364021301,0.82683707049909,0.9358046054840088,0.8841116428375244
14,1,256,mhcflurry,100000,c14_cc1_d256_mhcflurry_100k,0.8657963275909424,0.8597838282585144,0.8315789699554443,0.8304861783981323,0.831032214926915,0.9408172369003296,0.9019954800605774
15,0,256,hlgauss,50000,c15_cc0_d256_hlgauss_50k,0.8631854057312012,0.8629875481128693,0.8068880438804626,0.862023651599884,0.8335450939696706,0.9334145188331604,0.8923705816268921
15,1,256,hlgauss,50000,c15_cc1_d256_hlgauss_50k,0.8621410131454468,0.8563033938407898,0.8256880640983582,0.8278580904006958,0.8267716533357946,0.9274909496307373,0.884484052658081
16,0,256,hlgauss,100000,c16_cc0_d256_hlgauss_100k,0.8516971468925476,0.8469666242599487,0.80694979429245,0.8239158987998962,0.8153445962679997,0.9171674847602844,0.8453852534294128
16,1,256,hlgauss,100000,c16_cc1_d256_hlgauss_100k,0.8417754769325256,0.8351543247699738,0.7997382283210754,0.802890956401825,0.8013114913027506,0.918228805065155,0.8789896965026855
